epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1484,1.26591,3.15913,1.53542,0.01101,0.93405,0.21762,0.07666,1.30183,3.59219,1.78685,8.574e-05,8.574e-05,8.574e-05
2,39.7525,1.25651,2.91837,1.38973,0.0259,0.98925,0.38315,0.21003,0.889,3.38352,1.28689,0.000182705,0.000182705,0.000182705
3,59.5191,1.06994,2.68557,1.29455,0.05605,0.98925,0.46483,0.25133,0.85123,3.3346,1.25424,0.000276369,0.000276369,0.000276369
4,79.1889,1.03325,2.39049,1.27287,0.05914,0.98925,0.59389,0.33557,0.89615,3.29199,1.26974,0.000366731,0.000366731,0.000366731
5,99.1817,1.19607,2.29209,1.43769,0.04544,0.97814,0.7292,0.40252,0.85667,3.29531,1.27248,0.000453793,0.000453793,0.000453793
6,118.779,1.16573,1.92501,1.3759,0.02392,0.98925,0.82511,0.47633,0.99795,3.03051,1.40289,0.000537554,0.000537554,0.000537554
7,138.902,1.21422,1.7603,1.37976,0.01007,0.98925,0.82462,0.46391,1.11222,2.99606,1.514,0.000618014,0.000618014,0.000618014
8,159.461,1.12973,1.6654,1.35025,1,0.19419,0.86851,0.45132,1.21349,2.96894,1.62558,0.000695173,0.000695173,0.000695173
9,178.929,1.12839,1.62539,1.30004,0.60765,0.94865,0.88321,0.49886,0.99622,2.93749,1.33015,0.000769031,0.000769031,0.000769031
10,197.94,1.24079,1.58505,1.3282,1,0.25258,0.96406,0.53098,1.09913,2.71262,1.41589,0.000839588,0.000839588,0.000839588
11,216.445,1.10438,1.55979,1.27579,0.92134,0.50171,0.9387,0.52796,0.98002,2.77559,1.30981,0.000906843,0.000906843,0.000906843
12,234.609,1.15496,1.50663,1.29996,0.9039,0.52653,0.79869,0.45292,1.11301,2.65782,1.40463,0.000970798,0.000970798,0.000970798
13,253.277,1.11271,1.38757,1.27646,0.89901,0.79179,0.93887,0.51759,1.18512,2.48789,1.44429,0.00103145,0.00103145,0.00103145
14,271.504,1.09137,1.39129,1.26322,0.76572,0.83467,0.83459,0.48505,1.13154,2.34625,1.41914,0.00108881,0.00108881,0.00108881
15,289.996,1.23238,1.51951,1.33839,0.7736,0.89613,0.93216,0.52549,1.11663,2.35743,1.40834,0.0010989,0.0010989,0.0010989
16,308.292,1.10218,1.45599,1.25841,0.72317,0.7511,0.83236,0.48859,1.02825,2.35117,1.32296,0.00107532,0.00107532,0.00107532
17,326.304,1.1039,1.51292,1.29605,0.72697,0.7403,0.83811,0.52429,1.10668,2.29273,1.36314,0.00105174,0.00105174,0.00105174
18,344.649,1.06759,1.44332,1.25412,0.6218,0.79766,0.86959,0.54697,1.02698,2.262,1.29307,0.00102817,0.00102817,0.00102817
19,362.888,1.11535,1.39212,1.24761,0.56298,0.69892,0.80619,0.4944,1.06226,2.26303,1.32938,0.00100459,0.00100459,0.00100459
20,381.044,1.05852,1.35885,1.23891,0.60743,0.75052,0.79131,0.48857,1.05322,2.19535,1.34848,0.000981008,0.000981008,0.000981008
21,399.41,1.10834,1.46151,1.31374,0.62693,0.68061,0.74975,0.44389,1.10767,2.28172,1.41037,0.00095743,0.00095743,0.00095743
22,417.21,1.0321,1.292,1.19844,0.51133,0.39653,0.51595,0.31342,0.99601,2.36434,1.27406,0.000933851,0.000933851,0.000933851
23,435.31,1.11218,1.34626,1.28501,0.66741,0.82616,0.72144,0.42027,1.10293,1.95148,1.37727,0.000910273,0.000910273,0.000910273
24,453.437,1.05338,1.27447,1.21435,0.8358,0.94423,0.8987,0.58131,1.00623,1.55074,1.27561,0.000886694,0.000886694,0.000886694
25,471.544,1.01573,1.28832,1.19748,0.80451,0.94624,0.88271,0.5602,0.98461,1.49148,1.26005,0.000863116,0.000863116,0.000863116
26,489.872,1.06806,1.32454,1.22755,0.86055,0.94624,0.91533,0.60422,0.9921,1.44796,1.25464,0.000839537,0.000839537,0.000839537
27,507.884,0.99755,1.289,1.18167,0.92964,0.92217,0.94925,0.60408,1.02807,1.46868,1.28145,0.000815959,0.000815959,0.000815959
28,526.056,1.04105,1.3168,1.2324,0.92594,0.93474,0.92932,0.58823,1.03003,1.47183,1.29315,0.00079238,0.00079238,0.00079238
29,543.76,0.96419,1.22027,1.20059,0.93202,0.93981,0.92241,0.5783,1.0331,1.47121,1.29963,0.000768802,0.000768802,0.000768802
30,561.881,1.11623,1.30447,1.2551,0.94934,0.93548,0.96186,0.62373,1.03589,1.34115,1.29566,0.000745223,0.000745223,0.000745223
31,580.127,1.02953,1.28092,1.22705,0.91145,0.94971,0.98619,0.64461,1.01103,1.37134,1.27808,0.000721645,0.000721645,0.000721645
32,597.999,1.05728,1.37391,1.26106,0.8716,0.91603,0.93487,0.60359,0.99379,1.35576,1.26182,0.000698066,0.000698066,0.000698066
33,615.976,0.98443,1.23008,1.21413,0.80604,0.8898,0.91712,0.61109,0.97221,1.33665,1.23202,0.000674488,0.000674488,0.000674488
34,633.848,1.02712,1.29481,1.25553,0.9562,0.91362,0.95789,0.65376,0.92615,1.31682,1.2008,0.000650909,0.000650909,0.000650909
35,651.81,1.00137,1.19631,1.18388,0.9183,0.86589,0.9468,0.62193,0.963,1.38062,1.22767,0.000627331,0.000627331,0.000627331
36,669.798,0.97683,1.25218,1.18332,0.86477,0.87748,0.95144,0.59244,0.97741,1.47868,1.24237,0.000603752,0.000603752,0.000603752
37,687.885,1.00343,1.26418,1.17852,0.90399,0.87328,0.9524,0.59527,0.933,1.46274,1.21209,0.000580174,0.000580174,0.000580174
38,705.999,1.00992,1.24778,1.1765,0.90651,0.79892,0.93612,0.59868,0.88312,1.56504,1.17044,0.000556595,0.000556595,0.000556595
39,724.114,0.95745,1.18406,1.15282,0.92806,0.92515,0.97479,0.633,0.88485,1.35576,1.16284,0.000533017,0.000533017,0.000533017
40,742.081,0.98077,1.30105,1.2136,0.91586,0.94588,0.95516,0.60404,0.94089,1.34655,1.19773,0.000509438,0.000509438,0.000509438
41,760.289,1.00495,1.23983,1.18744,0.91917,0.92319,0.95828,0.60958,0.9256,1.3268,1.19504,0.00048586,0.00048586,0.00048586
42,778.131,0.94513,1.1849,1.18174,0.94109,0.97021,0.98121,0.65134,0.91583,1.26886,1.18785,0.000462281,0.000462281,0.000462281
43,796.312,0.90791,1.13201,1.12001,0.94821,0.95663,0.97115,0.66571,0.93831,1.23292,1.20105,0.000438703,0.000438703,0.000438703
44,814.629,0.96371,1.13121,1.13481,0.95555,0.9706,0.97138,0.6529,0.96236,1.20274,1.22787,0.000415124,0.000415124,0.000415124
45,832.814,0.94756,1.095,1.13652,0.96024,0.96345,0.9745,0.64483,0.95915,1.19432,1.22239,0.000391546,0.000391546,0.000391546
46,850.814,0.92027,1.15339,1.15474,0.94465,0.95286,0.98008,0.64728,0.91437,1.18587,1.18823,0.000367967,0.000367967,0.000367967
47,868.599,0.90997,1.10486,1.14228,0.95065,0.92575,0.97574,0.64641,0.87157,1.19136,1.14974,0.000344389,0.000344389,0.000344389
48,886.873,0.91021,1.13718,1.12631,0.92596,0.94516,0.98159,0.65433,0.88871,1.17872,1.16251,0.00032081,0.00032081,0.00032081
49,904.659,0.88191,1.16533,1.16434,0.94965,0.94552,0.98077,0.66371,0.89802,1.18131,1.16859,0.000297232,0.000297232,0.000297232
50,922.676,0.87678,1.05032,1.14342,0.96674,0.94513,0.98335,0.65153,0.89986,1.1743,1.16992,0.000273654,0.000273654,0.000273654
51,940.786,0.78692,1.23538,1.17427,0.94613,0.95472,0.96522,0.64612,0.88561,1.18289,1.16309,0.000250075,0.000250075,0.000250075
52,958.416,0.78512,1.2196,1.16358,0.92546,0.96774,0.97389,0.6674,0.89465,1.19649,1.16746,0.000226497,0.000226497,0.000226497
53,976.122,0.80854,1.20918,1.18088,0.93196,0.96774,0.97931,0.67365,0.9162,1.21906,1.18529,0.000202918,0.000202918,0.000202918
54,993.889,0.811,1.20023,1.18279,0.9351,0.96762,0.97422,0.67663,0.90165,1.21731,1.1798,0.00017934,0.00017934,0.00017934
55,1011.77,0.7551,1.18969,1.09196,0.95319,0.95699,0.96862,0.68261,0.875,1.19091,1.16386,0.000155761,0.000155761,0.000155761
56,1029.67,0.82821,1.12529,1.1592,0.95648,0.93661,0.95784,0.67339,0.85309,1.16633,1.14996,0.000132183,0.000132183,0.000132183
57,1047.47,0.78457,1.15596,1.12344,0.95197,0.93593,0.95834,0.67168,0.84243,1.15515,1.14468,0.000108604,0.000108604,0.000108604
58,1065.48,0.79616,1.16036,1.14215,0.95586,0.93536,0.96023,0.67445,0.82205,1.1447,1.13624,8.50255e-05,8.50255e-05,8.50255e-05
59,1083.35,0.86382,1.22631,1.17292,0.93368,0.94849,0.96065,0.68131,0.81857,1.14126,1.13566,6.1447e-05,6.1447e-05,6.1447e-05
60,1101.31,0.80616,1.1238,1.14365,0.93332,0.95029,0.9602,0.67923,0.81075,1.14248,1.1314,3.78685e-05,3.78685e-05,3.78685e-05
